"Name","Instance ID","Role","Status"
"db-push-notification-kuroko-201","i-0501c747998a2f7cc","db-push-notification","running"
"db-push-notification-mauser-001","i-0288751dd5fdf35de","db-push-notification","running"
"db-screening-devel-001","i-9a63f49d","ozen-db","stopped"
"db-suggest-101","i-04157efe80951cf50","db-suggest","running"
"db-suggest-102","i-0f9186afceebd1269","db-suggest","running"
"db-suggest-master-002","i-63585f63","db-suggest-master","stopped"
"db-suggest-master-003","i-f0f9b67f","db-suggest-master","stopped"
"db-summary-master-mysql56-001","i-72b66780","db-summary-master","running"
"db-summary-master-mysql56-003","i-0ee5d8a3e00e1ee10","db-summary-master","running"
"db-summary-slave-mysql56-000","i-76836784","db-summary-slave-backup","running"
"db-summary-slave-mysql56-cluster-001","i-7cfe198e","db-summary-slave-cluster","running"
"db-summary-slave-mysql56-cluster-002","i-e3cc4716","db-summary-slave-cluster","running"
"db-summary-slave-mysql56-free-001","i-0f386a4ab830a9d67","db-summary-slave-free","running"
"db-summary-slave-mysql56-partition-001","i-422933b1","db-summary-slave","running"
"db-summary-slave-mysql56-partition-002","i-317cf5c4","db-summary-slave","running"
"db-sweets-devel-001","i-60fff865","ozen-db","stopped"
"db-switcher-001","i-06997669be8086441","base","stopped"
"deepsecurity-201","i-0f5f5026d2c7dbd89","","running"
"dev-kaorimatz-001","i-004a0ccf034b3ab3e","base","running"
"dev-kaorimatz-002","i-0392787fec28fdea3","base","running"
"dev-naruta-001","i-19ec31bc","dev-naruta","stopped"
"dev-oishi-001","i-08cfd6105940eaff2","base","running"
"dev-sorah-101","i-25bf23aa","base","stopped"
"dev-sorah-debuild-001","i-17741e98","debuild","stopped"
"dev-sorah-gatling-001","i-0eb327fb","gatling","stopped"
"dev-sorah-rtmdev-101","i-910d8663","base","stopped"
"dev-sorah-rtmdev-201","i-230e85d1","base","stopped"
"dev-sorah-tmp-001","i-adf4f232","dev-sorah-tmp","stopped"
"dev-sorah-tmp-002","i-db818744","dev-sorah-tmp","stopped"
"dev-sorah-tmp-003","i-4c8c8ad3","dev-sorah-tmp","stopped"
"dev-sorah-xenial-002","i-5895e9d7","base","stopped"
"dev-sorah-xenial-002","i-3d176eb2","","stopped"
"dev-soraher-001","i-b9851a4c","base","stopped"
"ecs-aws-000","i-0c875d602be80082a","ecs","running"
"ecs-aws-g2-000","i-04ecdd1d8aaffb2b8","ecs","stopped"
"ecs-hako-dwh-app-i-0864c95ae767d3228","i-0864c95ae767d3228","ecs","running"
"ecs-hako-dwh-app-i-090300a1f285f2bd8","i-090300a1f285f2bd8","ecs","running"
"ecs-hako-dwh-batch-i-037c3c6bb37ea49b4","i-037c3c6bb37ea49b4","ecs","running"
"ecs-hako-dwh-batch-i-07fb2c7a5cec05806","i-07fb2c7a5cec05806","ecs","running"
"ecs-hako-dwh-batch-i-098e940eb3714c9d0","i-098e940eb3714c9d0","ecs","running"
"ecs-hako-infra-tools-i-008783f9d67674952","i-008783f9d67674952","ecs","running"
"ecs-hako-infra-tools-i-056b98811ddcca87b","i-056b98811ddcca87b","ecs","running"
"ecs-hako-infra-tools-i-07510b05e62de14e9","i-07510b05e62de14e9","ecs","running"
"ecs-hako-infra-tools-i-0c9208647f0e7756a","i-0c9208647f0e7756a","ecs","running"
"ecs-hako-infra-tools-i-0d783143671dfe414","i-0d783143671dfe414","ecs","running"
"ecs-hako-internal-g2-i-0259cae152aeb13a4","i-0259cae152aeb13a4","ecs","running"
"ecs-hako-internal-g2-i-0c9ebf907299ef62f","i-0c9ebf907299ef62f","ecs","stopped"
"ecs-hako-internal-i-00de779fbe1e06c48","i-00de779fbe1e06c48","ecs","running"
"ecs-hako-internal-i-025043569b9fe896d","i-025043569b9fe896d","ecs","running"
"ecs-hako-internal-i-03559eb5ddd6d2452","i-03559eb5ddd6d2452","ecs","running"
"ecs-hako-internal-i-03c0a3b783ce32e41","i-03c0a3b783ce32e41","ecs","running"
"ecs-hako-internal-i-03d951dd5cadd11f7","i-03d951dd5cadd11f7","ecs","running"
"ecs-hako-internal-i-04f02757a2b8fc0ee","i-04f02757a2b8fc0ee","ecs","running"
"ecs-hako-internal-i-05ea2282d80e39498","i-05ea2282d80e39498","ecs","running"
"ecs-hako-internal-i-068989854db3e9323","i-068989854db3e9323","ecs","running"
"ecs-hako-internal-i-071c21cfa4cc269bb","i-071c21cfa4cc269bb","ecs","running"
"ecs-hako-internal-i-077867a7aa3bb3e0a","i-077867a7aa3bb3e0a","ecs","running"
"ecs-hako-internal-i-07b6100c424715294","i-07b6100c424715294","ecs","running"
"ecs-hako-internal-i-081ea0f4b2141ed46","i-081ea0f4b2141ed46","ecs","running"
"ecs-hako-internal-i-082375df15369b061","i-082375df15369b061","ecs","running"
"ecs-hako-internal-i-08698d974f464967b","i-08698d974f464967b","ecs","running"
"ecs-hako-internal-i-087033fd244bdf0fa","i-087033fd244bdf0fa","ecs","running"
"ecs-hako-internal-i-0880dcf5b3b5c72cd","i-0880dcf5b3b5c72cd","ecs","running"
"ecs-hako-internal-i-08e0e3ed8be61872d","i-08e0e3ed8be61872d","ecs","running"
"ecs-hako-internal-i-08e990867c082e9d6","i-08e990867c082e9d6","ecs","running"
"ecs-hako-internal-i-0948ed7e41e4ba46f","i-0948ed7e41e4ba46f","ecs","running"
"ecs-hako-internal-i-094a6a300aaa760ca","i-094a6a300aaa760ca","ecs","running"
"ecs-hako-internal-i-09700ea291b025550","i-09700ea291b025550","ecs","running"
"ecs-hako-internal-i-09808141ac55189f9","i-09808141ac55189f9","ecs","running"
"ecs-hako-internal-i-098c5b35b8e580639","i-098c5b35b8e580639","ecs","running"
"ecs-hako-internal-i-09af7218b8f0bb80d","i-09af7218b8f0bb80d","ecs","running"
"ecs-hako-internal-i-0a88360d944af221a","i-0a88360d944af221a","ecs","running"
"ecs-hako-internal-i-0b4509e590426918b","i-0b4509e590426918b","ecs","running"
"ecs-hako-internal-i-0b9f596f4c6f31d65","i-0b9f596f4c6f31d65","ecs","running"
"ecs-hako-internal-i-0bcf5a3ce814e595e","i-0bcf5a3ce814e595e","ecs","running"
"ecs-hako-internal-i-0cf11fb0129a7a3ae","i-0cf11fb0129a7a3ae","ecs","running"
"ecs-hako-internal-i-0d696d31e53b4ed2b","i-0d696d31e53b4ed2b","ecs","running"
"ecs-hako-internal-i-0dc28ce5f9fe966bf","i-0dc28ce5f9fe966bf","ecs","running"
"ecs-hako-internal-i-0e66ededf8246aef1","i-0e66ededf8246aef1","ecs","running"
"ecs-hako-internal-i-0f3a51e03bcf146af","i-0f3a51e03bcf146af","ecs","running"
"ecs-hako-internal-i-0f83a6dd99fd27de8","i-0f83a6dd99fd27de8","ecs","running"
"ecs-hako-load-testing-i-0c106a906732ac8e1","i-0c106a906732ac8e1","ecs","running"
"ecs-hako-mobile-pusher-i-019efbd14818eeb71","i-019efbd14818eeb71","ecs","running"
"ecs-hako-mobile-pusher-i-05e69419f150f5081","i-05e69419f150f5081","ecs","running"
"ecs-hako-mobile-pusher-i-083ed29b7045b999d","i-083ed29b7045b999d","ecs","running"
"ecs-hako-mobile-pusher-i-0a1cd5d348a38d281","i-0a1cd5d348a38d281","ecs","running"
"ecs-hako-mobile-pusher-sandbox-i-078dec83dc96ddcd1","i-078dec83dc96ddcd1","ecs","running"
"ecs-hako-mobile-pusher-sandbox-i-0bc2f20f24b9d2ff6","i-0bc2f20f24b9d2ff6","ecs","running"
"ecs-hako-production-admin-i-01652fd73f48aed27","i-01652fd73f48aed27","ecs","running"
"ecs-hako-production-admin-i-06e174aea1fe01447","i-06e174aea1fe01447","ecs","running"
"ecs-hako-production-admin-i-0b6aa0b4950164721","i-0b6aa0b4950164721","ecs","running"
"ecs-hako-production-admin-i-0d575b01ae5d2562f","i-0d575b01ae5d2562f","ecs","running"
"ecs-hako-production-batch-i-008c36c127860c203","i-008c36c127860c203","ecs","running"
"ecs-hako-production-batch-i-00aaf178e019b6c99","i-00aaf178e019b6c99","ecs","running"
"ecs-hako-production-batch-i-00ee39fdac591757c","i-00ee39fdac591757c","ecs","terminated"
"ecs-hako-production-batch-i-01316b63e1a3ace4c","i-01316b63e1a3ace4c","ecs","running"
"ecs-hako-production-batch-i-024cc386d57b0d7c8","i-024cc386d57b0d7c8","ecs","running"
"ecs-hako-production-batch-i-0311fd633a337a3f0","i-0311fd633a337a3f0","ecs","running"
"ecs-hako-production-batch-i-03b48f11fbc361c3c","i-03b48f11fbc361c3c","ecs","running"
"ecs-hako-production-batch-i-048e94b29cb9cf30b","i-048e94b29cb9cf30b","ecs","running"
"ecs-hako-production-batch-i-065a0ed49dfd8cb39","i-065a0ed49dfd8cb39","ecs","running"
"ecs-hako-production-batch-i-065b762585cbb22c4","i-065b762585cbb22c4","ecs","running"
"ecs-hako-production-batch-i-06a311d4753b09b77","i-06a311d4753b09b77","ecs","running"
"ecs-hako-production-batch-i-06ee394b7f49da968","i-06ee394b7f49da968","ecs","running"
"ecs-hako-production-batch-i-08640d920a12588fd","i-08640d920a12588fd","ecs","running"
"ecs-hako-production-batch-i-095ba0b41ff6e7922","i-095ba0b41ff6e7922","ecs","running"
"ecs-hako-production-batch-i-0a00ef6016b4c4f85","i-0a00ef6016b4c4f85","ecs","running"
"ecs-hako-production-batch-i-0a054fdd3293095a1","i-0a054fdd3293095a1","ecs","running"
"ecs-hako-production-batch-i-0c395b14681d42e0c","i-0c395b14681d42e0c","ecs","running"
"ecs-hako-production-batch-i-0dfcc44e6a64318a7","i-0dfcc44e6a64318a7","ecs","running"
"ecs-hako-production-batch-i-0e3ebf9509a34541b","i-0e3ebf9509a34541b","ecs","running"
"ecs-hako-production-batch-i-0f95675e7a4fca056","i-0f95675e7a4fca056","ecs","running"
"ecs-hako-production-g2-i-00db984b1aaff6842","i-00db984b1aaff6842","ecs","running"
"ecs-hako-production-g2-i-010a46f62ca07571b","i-010a46f62ca07571b","ecs","running"
"ecs-hako-production-g2-i-01e02e669032e162f","i-01e02e669032e162f","ecs","running"
"ecs-hako-production-g2-i-03b72590ce21f4af5","i-03b72590ce21f4af5","ecs","running"
"ecs-hako-production-g2-i-03f9b204ff1b3e6bf","i-03f9b204ff1b3e6bf","ecs","running"
"ecs-hako-production-g2-i-04ed3e7f7c561f986","i-04ed3e7f7c561f986","ecs","running"
"ecs-hako-production-g2-i-04f55214d9d70596d","i-04f55214d9d70596d","ecs","running"
"ecs-hako-production-g2-i-05f8fee77fff08ecf","i-05f8fee77fff08ecf","ecs","running"
"ecs-hako-production-g2-i-08ed681aeb18df0fc","i-08ed681aeb18df0fc","ecs","running"
"ecs-hako-production-g2-i-0a0c11f01d43d99f0","i-0a0c11f01d43d99f0","ecs","running"
"ecs-hako-production-g2-i-0a209efb886a406c8","i-0a209efb886a406c8","ecs","running"
"ecs-hako-production-g2-i-0e1c6be3deddfad54","i-0e1c6be3deddfad54","ecs","running"
"ecs-hako-production-g2-i-0f5989d51c3cb493f","i-0f5989d51c3cb493f","ecs","running"
"ecs-hako-production-i-010bdc11580c827e7","i-010bdc11580c827e7","ecs","running"
"ecs-hako-production-i-02203f4a4488b67e3","i-02203f4a4488b67e3","ecs","running"
"ecs-hako-production-i-0569c992117afdc4b","i-0569c992117afdc4b","ecs","running"
"ecs-hako-production-i-059805befe16d1b08","i-059805befe16d1b08","ecs","running"
"ecs-hako-production-i-066cd161cd83dd5bf","i-066cd161cd83dd5bf","ecs","running"
"ecs-hako-production-i-07121539df1f0b953","i-07121539df1f0b953","ecs","running"
"ecs-hako-production-i-07324135bceb4f68c","i-07324135bceb4f68c","ecs","running"
"ecs-hako-production-i-0878802c753588d17","i-0878802c753588d17","ecs","running"
